id_parada,latitud,longitud
90001052,6.24244826,-75.60266087
90001036,6.20184596,-75.58400455
90001041,6.21809084,-75.59855024
90001046,6.22572166,-75.60011973
90001030,6.21210316,-75.5765001
90001035,6.19811702,-75.58498619
90001029,6.21423489,-75.57631831
90001012,6.24792453,-75.57496265
90001040,6.21405175,-75.59645372
90001006,6.24950897,-75.59256385
90001013,6.25039343,-75.57486745
90001048,6.22989076,-75.60197109
90001016,6.25302332,-75.56268334
90001010,6.24847606,-75.58372102
90001002,6.2492821,-75.60220843
90001018,6.24651702,-75.56677396
90001001,6.24632994,-75.60246168
90001039,6.21153213,-75.59516097
90001049,6.23233983,-75.60206667
90001023,6.22983984,-75.57470661
90001034,6.19615914,-75.58401812
90001019,6.24149225,-75.5696436
90001021,6.23537661,-75.57301063
90001044,6.22319488,-75.59931693
90001017,6.24872143,-75.56515144
90001042,6.21967534,-75.59912724
90001026,6.22291884,-75.57543294
90001028,6.21766291,-75.57593501
90001007,6.24920425,-75.58989143
90001045,6.22389898,-75.59929682
90001047,6.22745528,-75.601752
90001014,6.25422045,-75.57475394
90001043,6.22170218,-75.59925845
90001037,6.20351366,-75.58546336
90001022,6.23561398,-75.5744317
90001038,6.20746663,-75.58917218
90001020,6.23481489,-75.57148629
90001011,6.24668628,-75.57721943
90001031,6.20820126,-75.57685414
90001050,6.23443147,-75.60209143
90001009,6.24882064,-75.58661525
90001005,6.24986323,-75.59550564
90001015,6.25614378,-75.5729009
90001027,6.21960245,-75.5757281
90001024,6.2285646,-75.57481878
90001004,6.24999841,-75.59714213
90001003,6.24993013,-75.59940446
90001051,6.23968847,-75.60284271
90001008,6.24904827,-75.5885321
90001032,6.20377884,-75.5772879
90001025,6.22632394,-75.57507264
90001033,6.20125494,-75.57754412
90002010,6.24740433,-75.5754365
90002013,6.24416759,-75.56675201
90002018,6.2561054,-75.56889769
90002008,6.25509627,-75.57445033
90002026,6.27514375,-75.56786516
90002025,6.27302287,-75.56232127
90002024,6.27012233,-75.56188352
90002014,6.24840567,-75.56377859
90002022,6.2649032,-75.56270047
90002017,6.25257934,-75.56940898
90002027,6.279807,-75.57135099
90002021,6.26280375,-75.56355521
90002007,6.256154,-75.57345652
90002011,6.24535396,-75.57318588
90002005,6.26819474,-75.57453303
90002003,6.2731075,-75.57339294
90002006,6.26568206,-75.57513881
90002004,6.27113722,-75.57386261
90002009,6.25080633,-75.5753002
90002023,6.26644288,-75.56193886
90002001,6.28042232,-75.57120003
90002002,6.27750473,-75.57037544
90002020,6.26186693,-75.5669793
90002019,6.26066553,-75.56804111
90002012,6.24387651,-75.56890968
90002015,6.24917019,-75.56767129
90002016,6.25058535,-75.5700625
90003029,6.20733937,-75.57668773
90003028,6.20413577,-75.57700872
90003008,6.23495255,-75.60234622
90003033,6.22253086,-75.57523363
90003051,6.25015083,-75.5956441
90003011,6.22734173,-75.60198159
90003038,6.23833603,-75.57226668
90003049,6.2493347,-75.5884227
90003027,6.1999398,-75.57741803
90003019,6.21107316,-75.59523452
90003009,6.23212353,-75.6022959
90003032,6.21904927,-75.57552239
90003024,6.19804436,-75.58521551
90003041,6.24969013,-75.56424471
90003013,6.22378709,-75.59958049
90003016,6.21822928,-75.59892314
90003001,6.25143374,-75.59900134
90003002,6.24896491,-75.60250424
90003021,6.20488328,-75.5884958
90003025,6.19563001,-75.58319778
90003036,6.23016667,-75.5744147
90003044,6.25654643,-75.57306358
90003026,6.19662987,-75.57845877
90003045,6.25509627,-75.57445033
90003020,6.20801406,-75.59140254
90003012,6.2256784,-75.60048722
90003003,6.24638133,-75.60268514
90003039,6.24142781,-75.56931352
90003014,6.22192637,-75.59954482
90003035,6.22877312,-75.57456112
90003047,6.24677659,-75.57611264
90003007,6.23799556,-75.60314344
90003040,6.24649178,-75.56639455
90003050,6.2497739,-75.59203175
90003006,6.23957123,-75.60308578
90003005,6.24167818,-75.60295289
90003004,6.24437846,-75.60283689
90003046,6.24941282,-75.57535127
90003018,6.21293781,-75.59617483
90003048,6.24888366,-75.58426827
90003023,6.20128674,-75.58440049
90003022,6.20317899,-75.58541174
90003017,6.21667481,-75.59812716
90003043,6.25544448,-75.56318794
90003030,6.21241379,-75.57615111
90003034,6.22597678,-75.57484971
90003031,6.2158409,-75.57583712
90003037,6.23604407,-75.57327424
90003015,6.22012318,-75.59943687
90003010,6.23032672,-75.60220998
90003042,6.2528954,-75.56236932
90004015,6.257168,-75.58048434
90004003,6.21625942,-75.58463904
90004008,6.22407041,-75.57600905
90004025,6.2731075,-75.57339294
90004019,6.26760009,-75.57437656
90004002,6.21738686,-75.58784698
90004034,6.24006566,-75.57812166
90004032,6.24903675,-75.5810546
90004001,6.21577828,-75.58795408
90004029,6.25772003,-75.57592896
90004012,6.24998386,-75.57882732
90004028,6.26372754,-75.57520657
90004035,6.23311017,-75.57987739
90004033,6.24411056,-75.57956214
90004017,6.26198748,-75.57961145
90004031,6.25279295,-75.57868676
90004039,6.21796043,-75.58598501
90004023,6.28042232,-75.57120003
90004013,6.25313236,-75.5771345
90004020,6.27140577,-75.57350053
90004027,6.26561924,-75.57514884
90004009,6.22930515,-75.57528889
90004016,6.25834258,-75.58010997
90004040,6.21601622,-75.58649493
90004004,6.21439108,-75.58098691
90004011,6.23503365,-75.57528883
90004007,6.21847141,-75.57678701
90004005,6.21369991,-75.57684738
90004014,6.2553256,-75.57913864
90004018,6.26499035,-75.57771821
90004038,6.22338366,-75.58439935
90004010,6.23134542,-75.5750005
