nombre_sitio,latitud,longitud,distance_to_transport
Aeroparque Parque Juan Pablo II,6.22229004,-75.59167481,0.0020907338209113476
Aeropuerto Enrique Olaya Herrera,6.21887207,-75.58947754,0.0022055838784300415
Barrio Prado,6.25952148,-75.56182861,0.0014803852251857822
Basílica Menor Nuestra Señora de la Candelaria,6.25012207,-75.56750488,0.0004414741210278694
Bulevar Libertadores de América,6.25128174,-75.58831787,0.0006546574209986138
Calle de la Buena Mesa,6.21228027,-75.57067871,0.0006980252628652877
Casa de la Lectura Infantil,6.24871826,-75.56420898,0.00045278368649819353
Casa de Música El Jordán,6.27508545,-75.59527588,0.0010725914321445182
Casa Museo Maestro Pedro Nel Gómez,6.27850342,-75.5625,0.0004030559865361653
Catedral Basílica Metropolitana de la Inmaculada Concepción de María,6.25408936,-75.56378174,0.00032075986858913264
Cementerio San Lorenzo,6.24169922,-75.56610107,0.001290766974713145
Centro Administrativo´José María Córdoba´,6.24450684,-75.57348633,0.0008988249512270589
Centro Comercial Palacio Nacional,6.24890137,-75.5703125,0.0007314232722872455
Centro de Desarrollo Cultural de Moravia,6.27648926,-75.56469727,0.0005707771753928099
Centro de Espectáculos La Macarena,6.24969482,-75.58050537,0.0008571513686549908
Cerro Pan de Azúcar,6.24707031,-75.53527832,0.0060426077219270435
Complejo Arquitectónico Claustro San Ignacio,6.24627686,-75.56420898,0.0006048592101095695
Conjunto de Esculturas de Botero,6.25231934,-75.56817627,0.0003085996108833314
Ecoparque Cerro Picacho,6.30407715,-75.58850098,0.0057701974148368996
Edificio Antigua Estación Medellín,6.24468994,-75.57189941,0.0006742606235520551
Edificio Carré,6.24591064,-75.57122803,0.00024086995681409565
Edificio Coltejer,6.25012207,-75.565979,0.00030189709300138115
Edificio Inteligente Empresas Públicas de Medellín,6.2454834,-75.57769775,0.0012944999152984173
Edificio Vásquez,6.24572754,-75.57141113,0.0004335144220351928
Escaleras Eléctricas Comuna 13,6.2479248,-75.62188721,0.001251079503558375
Escultura Cacique Nutibara,6.23651123,-75.57989502,0.0030001789615466128
Escultura La Gorda de Botero,6.24987793,-75.56781006,0.00047124789908053035
Estatua a Simón Bolívar,6.25311279,-75.5645752,0.0013874110583157132
Fuente Cacique de Nutibara,6.25176563,-75.56762458,0.00025518178539150877
Iglesia de San Antonio,6.24450684,-75.56890869,0.0004938517576354981
Iglesia Jesús de Nazareno,6.2598877,-75.56671143,0.00021215393814958872
Iglesia La Veracruz,6.25128174,-75.56951904,0.0007041485789723927
Iglesia San José de El Poblado,6.21008301,-75.57049561,0.00031841201413062117
Jardín Botánico Joaquín Antonio Uribe,6.27069092,-75.5637207,0.001770898655336228
Jardín Morro de Moravia,6.27728272,-75.56781006,0.00213967547325645
Milla de Oro,6.20007324,-75.57220459,0.0007766760396886054
Monumento a Carlos Gardel,6.21807861,-75.58679199,0.0008155876345264156
Monumento a la Raza,6.24432373,-75.57348633,0.0010731439248433876
Monumento a La Vida,6.2545166,-75.57897949,0.0005028411797628978
Monumento a la Vida,6.25427246,-75.57897949,0.0007375420663755442
Monumento al Tango,6.21807861,-75.58679199,0.0008155876345264156
Monumento El Pájaro,6.2454834,-75.6171875,0.00010582356221977195
Monumento Paloma de la Paz,6.2454834,-75.6171875,0.00010582356221977195
Museo al Aire Libre Acueducto del Siglo XIX,6.25091553,-75.56921387,0.0008435807242315341
Museo Casa de la Memoria,6.24591064,-75.55657959,0.00038325351090252884
Museo Casa Gardeliana,6.26947021,-75.5546875,0.002257627715598856
Museo Cementerio San Pedro,6.26568603,-75.56140137,0.0008240722868977512
Museo de Antioquia,6.25231934,-75.56890869,0.0005638198948404233
Museo de Arte Moderno de Medellín,6.22351074,-75.57409668,0.0014614817155377082
Museo del Agua,6.24511719,-75.57611084,0.0007654088846156019
Museo El Castillo,6.19012451,-75.56939697,0.0021986811933748965
Museo Etnográfico Madre Laura,6.24572754,-75.61700439,0.00020899242249561127
Palacio de Bellas Artes,6.24688721,-75.56311035,0.00010131990614638202
Palacio de la Cultura Rafael Uribe Uribe,6.25152588,-75.56829834,0.0009699746680283637
Parque Ambiental Bosques de La Frontera,6.18511963,-75.57629395,0.005842934455650372
Parque Biblioteca España,6.29467773,-75.54412842,0.0023925155832594715
Parque de Berrío,6.24987793,-75.56781006,0.00047124789908053035
Parque de Bolívar,6.25311279,-75.5645752,0.0013874110583157132
Parque de El Poblado,6.21032715,-75.57110596,0.000345429947452841
Parque de los Deseos,6.26849365,-75.565979,0.00032236976070494915
Parque de los Pies Descalzos,6.24468994,-75.5770874,0.0015560187054057262
Parque Explora,6.27008057,-75.56561279,0.00032158489406156803
Parque Lineal La Presidenta,6.20788574,-75.5703125,0.0016048577358595377
Parque Lleras,6.20910644,-75.56781006,0.0029501505733604536
Parque Natural Metropolitano Cerro El Volador,6.26928711,-75.58282471,0.004084852922673462
Parque Natural Metropolitano Cerro Nutibara,6.23651123,-75.57989502,0.0030001789615466128
Parque Norte J. Emilio Valderrama,6.27270508,-75.56817627,0.0018792533707199315
Parque Regional Ecoturístico Arví,6.28948975,-75.51080322,0.026428173224852115
Parque de la Conservación,6.22332764,-75.57958984,0.0036570173393796605
Paseo Bolívar,6.24627686,-75.57012939,0.0005908803569966758
Paseo Peatonal Ayacucho,6.24249268,-75.55609131,0.0006529184983873877
Paseo Peatonal Carabobo,6.25128174,-75.5692749,0.0009315352391918012
Paseo Peatonal de Junín,6.25152588,-75.56549072,0.0009543083968712335
Paseo Provenza,6.20690918,-75.56530762,0.005093498084965861
