OBJECTID,Shape,codigo,nombre,i_2014,i_2015,i_2016,i_2017,i_2018,i_2019,i_2020,i_2021,i_2022,i_2023,Shape_Length,Shape_Area
1,"(4718611.922461629, 2254112.982707406)",01,Popular,0.57,0.64,0.58,0.58,0.58,0.57,0.56,0.61,,,9604.448561523164,3097940.950849382
2,"(4717471.901360827, 2254648.3111255593)",02,Santa Cruz,0.58,0.65,0.6,0.6,0.6,0.62,0.57,0.64,,,8597.294373605435,2195662.601386407
3,"(4718479.607630689, 2251852.4937053234)",03,Manrique,0.61,0.68,0.61,0.62,0.62,0.62,0.57,0.64,,,12077.5591324662,5096182.230156728
4,"(4716680.291627194, 2252195.0294205956)",04,Aranjuez,0.65,0.7,0.64,0.66,0.68,0.7,0.67,0.68,,,9642.676543479753,4883314.087520373
5,"(4715903.412076725, 2253981.9996353034)",05,Castilla,0.67,0.72,0.69,0.66,0.73,0.75,0.61,0.7,,,16098.03210800692,6063915.514971976
6,"(4714743.451115304, 2254761.3938639592)",06,Doce de Octubre,0.62,0.7,0.63,0.64,0.67,0.68,0.6,0.67,,,10709.846407300312,3849812.0727601973
7,"(4713275.71134015, 2252410.4420975056)",07,Robledo,0.66,0.7,0.67,0.67,0.68,0.68,0.61,0.7,,,23265.233431348748,9462007.704047674
8,"(4718584.283001129, 2249006.5964515195)",08,Villa Hermosa,0.63,0.69,0.62,0.64,0.62,0.62,0.59,0.65,,,16392.858844819497,5716967.861815598
9,"(4717615.2868070705, 2247244.7482453715)",09,Buenos Aires,0.68,0.74,0.69,0.68,0.68,0.67,0.6,0.7,,,18364.90299510415,6052668.286001971
10,"(4715944.532195215, 2249048.1243153503)",10,La Candelaria,0.75,0.76,0.74,0.73,0.76,0.78,0.63,0.73,,,13632.701394923215,7360811.029417884
11,"(4713343.505881916, 2249368.142262306)",11,Laureles Estadio,0.83,0.84,0.84,0.84,0.91,0.91,0.72,0.81,,,16365.175496146,7402669.301326557
12,"(4711800.387879477, 2249823.2178688487)",12,La América,0.79,0.77,0.76,0.8,0.83,0.84,0.69,0.8,,,15425.495027124889,3973306.9584038733
13,"(4710446.833375132, 2250061.46529047)",13,San Javier,0.63,0.69,0.64,0.65,0.61,0.6,0.58,0.66,,,26384.22054676626,4849278.874958561
14,"(4716105.141389329, 2243895.5048197634)",14,El Poblado,0.91,0.92,0.9,0.93,1.0,1.01,0.74,0.87,,,19965.687059117798,14414322.82772217
15,"(4713893.91312301, 2245262.804141909)",15,Guayabal,0.7,0.73,0.7,0.69,0.82,0.83,0.61,0.74,,,13279.243204644288,7288420.726785111
16,"(4712464.646424875, 2246614.0744316597)",16,Belén,0.76,0.78,0.76,0.77,0.75,0.75,0.73,0.73,,,25695.016634207837,8856232.001394011
17,"(4702567.6733262185, 2257955.7318096347)",50,San Sebastián de Palmitas,0.61,0.7,0.61,0.65,0.68,0.66,0.54,0.69,,,38399.21195236707,57799202.50778169
18,"(4708034.050193128, 2253812.2220230075)",60,San Cristóbal,0.63,0.72,0.66,0.65,0.61,0.61,0.6,0.63,,,51162.61742571545,54112792.242404774
19,"(4708517.330020405, 2246822.6598185324)",70,Altavista,0.59,0.74,0.67,0.7,0.6,0.69,0.58,0.7,,,35012.58288575261,28725783.28352506
20,"(4704270.352085299, 2245613.063627898)",80,San Antonio de Prado,0.64,0.71,0.67,0.68,0.72,0.73,0.61,0.66,,,40472.28393637327,60567771.68704203
21,"(4721626.544324636, 2247611.5894908938)",90,Santa Elena,0.65,0.68,0.61,0.65,0.66,0.61,0.7,0.71,,,66527.05396435653,74114152.89082207
