OBJECTID,Shape,codigo,nombre,i_2014,i_2015,i_2016,i_2017,i_2018,i_2019,i_2020,i_2021,i_2022,i_2023,Shape_Length,Shape_Area
1,"(4718611.922461629, 2254112.982707406)",01,Popular,32.82,33.53,34.77,33.97,34.75,33.95,,32.49,32.97,33.53,9604.448561523164,3097940.950849382
2,"(4717471.901360827, 2254648.3111255593)",02,Santa Cruz,35.85,35.96,36.89,36.6,37.08,36.48,,34.97,35.35,36.01,8597.294373605435,2195662.601386407
3,"(4718479.607630689, 2251852.4937053234)",03,Manrique,38.44,37.93,37.72,37.28,37.45,37.88,,36.24,36.71,36.32,12077.5591324662,5096182.230156728
4,"(4716680.291627194, 2252195.0294205956)",04,Aranjuez,42.45,44.29,43.73,43.27,44.12,43.6,,41.86,42.77,42.78,9642.676543479753,4883314.087520373
5,"(4715903.412076725, 2253981.9996353034)",05,Castilla,47.49,46.9,48.69,46.81,48.06,48.52,,47.18,47.47,46.79,16098.03210800692,6063915.514971976
6,"(4714743.451115304, 2254761.3938639592)",06,Doce de Octubre,40.29,40.12,41.43,39.99,40.79,41.21,,39.87,40.62,40.71,10709.846407300312,3849812.0727601973
7,"(4713275.71134015, 2252410.4420975056)",07,Robledo,45.09,44.16,45.64,44.9,46.12,46.21,,43.84,45.23,43.57,23265.233431348748,9462007.704047674
8,"(4718584.283001129, 2249006.5964515195)",08,Villa Hermosa,37.95,39.14,38.76,38.41,39.67,39.49,,37.02,38.73,38.18,16392.858844819497,5716967.861815598
9,"(4717615.2868070705, 2247244.7482453715)",09,Buenos Aires,49.07,49.21,49.39,48.21,49.91,49.85,,47.04,47.56,47.45,18364.90299510415,6052668.286001971
10,"(4715944.532195215, 2249048.1243153503)",10,La Candelaria,56.95,54.67,55.91,55.29,56.42,56.13,,52.63,54.12,54.23,13632.701394923215,7360811.029417884
11,"(4713343.505881916, 2249368.142262306)",11,Laureles Estadio,70.1,67.46,70.38,68.91,69.62,70.31,,66.22,68.55,67.17,16365.175496146,7402669.301326557
12,"(4711800.387879477, 2249823.2178688487)",12,La América,63.0,59.79,63.46,62.19,61.94,63.29,,59.83,61.63,59.37,15425.495027124889,3973306.9584038733
13,"(4710446.833375132, 2250061.46529047)",13,San Javier,39.2,39.54,39.23,40.06,40.42,39.97,,37.61,39.51,39.06,26384.22054676626,4849278.874958561
14,"(4716105.141389329, 2243895.5048197634)",14,El Poblado,75.85,74.64,75.48,75.34,76.6,76.68,,72.29,74.56,71.8,19965.687059117798,14414322.82772217
15,"(4713893.91312301, 2245262.804141909)",15,Guayabal,51.97,51.03,49.39,50.99,52.35,52.11,,49.6,50.87,50.47,13279.243204644288,7288420.726785111
16,"(4712464.646424875, 2246614.0744316597)",16,Belén,57.46,55.46,56.67,56.11,57.43,57.58,,52.74,56.33,53.18,25695.016634207837,8856232.001394011
17,"(4702567.6733262185, 2257955.7318096347)",50,San Sebastián de Palmitas,35.94,36.64,37.71,37.09,39.22,36.09,,36.16,38.44,37.47,38399.21195236707,57799202.50778169
18,"(4708034.050193128, 2253812.2220230075)",60,San Cristóbal,39.96,40.82,39.69,40.38,38.76,41.58,,37.87,40.61,40.6,51162.61742571545,54112792.242404774
19,"(4708517.330020405, 2246822.6598185324)",70,Altavista,36.75,42.5,45.06,43.62,39.44,47.77,,40.97,45.93,44.23,35012.58288575261,28725783.28352506
20,"(4704270.352085299, 2245613.063627898)",80,San Antonio de Prado,42.87,41.97,44.77,43.96,45.7,46.01,,43.3,43.57,43.27,40472.28393637327,60567771.68704203
21,"(4721626.544324636, 2247611.5894908938)",90,Santa Elena,42.94,38.18,37.19,39.5,45.57,41.58,,40.34,38.89,38.17,66527.05396435653,74114152.89082207
