OBJECTID,Shape,id_paradero,id_parada,id_ruta,nro_parada,direccion,tipo_parada,recorrido,codigo_ruta,nombre_ruta,sistema_ruta,tipo_ruta,empresa,longitud,latitud,x_origen_nacional,y_origen_nacional
1,"(4712112.686300001, 2248490.2188000027)",51330,90001052,90001,52.0,"CR 81 34A-138, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.60266087,6.24244826,4712112.6863,2248490.2188
2,"(4714155.726400001, 2243989.0511000026)",52238,90001036,90001,36.0,"CR 50FF x CL 6, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.58400455,6.20184596,4714155.7264,2243989.0511
3,"(4712554.4109, 2245793.780600004)",51585,90001041,90001,41.0,"CL 8 x CR 75  , Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.59855024,6.21809084,4712554.4109,2245793.7806
4,"(4712384.8346, 2246638.685299998)",51488,90001046,90001,46.0,"CR 80 20A-22, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.60011973,6.22572166,4712384.8346,2246638.6853
5,"(4714991.944200001, 2245119.5434000026)",52673,90001030,90001,30.0,"CL 10 48-85, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.5765001,6.21210316,4714991.9442,2245119.5434
6,"(4714045.0527, 2243577.1258000005)",52184,90001035,90001,35.0,"CR 50FF x CL 10, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.58498619,6.19811702,4714045.0527,2243577.1258
7,"(4715013.215800001, 2245355.2325999998)",52677,90001029,90001,29.0,"CR 48 10-45, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.57631831,6.21423489,4715013.2158,2245355.2326
8,"(4715181.464000002, 2249080.8691000007)",52776,90001012,90001,12.0,"CR 57 45-36, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.57496265,6.24792453,4715181.464,2249080.8691
9,"(4712784.2862, 2245345.8748000003)",51696,90001040,90001,40.0,"CL 7 x  70  , Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.59645372,6.21405175,4712784.2862,2245345.8748
10,"(4713234.143299999, 2249265.691300003)",51844,90001006,90001,6.0,"CL 44 73-27, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.59256385,6.24950897,4713234.1433,2249265.6913
