OBJECTID,Shape,codigo,nombre,i_2014,i_2015,i_2016,i_2017,i_2018,i_2019,i_2020,i_2021,i_2022,i_2023,Shape_Length,Shape_Area
1,"(4718611.922461629, 2254112.982707406)",01,Popular,11.48,10.68,14.18,14.91,13.6,17.9,22.94,20.59,16.47,,9604.448561523164,3097940.950849382
2,"(4717471.901360827, 2254648.3111255593)",02,Santa Cruz,11.19,10.99,11.26,11.16,13.11,12.54,21.89,19.63,14.04,,8597.294373605435,2195662.601386407
3,"(4718479.607630689, 2251852.4937053234)",03,Manrique,10.97,12.63,10.92,11.98,13.84,13.16,26.92,20.94,12.6,,12077.5591324662,5096182.230156728
4,"(4716680.291627194, 2252195.0294205956)",04,Aranjuez,9.54,9.45,9.22,11.03,12.67,13.46,19.27,18.3,14.5,,9642.676543479753,4883314.087520373
5,"(4715903.412076725, 2253981.9996353034)",05,Castilla,7.7,9.7,8.2,8.9,11.63,10.75,18.09,17.6,10.14,,16098.03210800692,6063915.514971976
6,"(4714743.451115304, 2254761.3938639592)",06,Doce de Octubre,10.65,8.76,11.1,13.3,12.81,14.24,21.34,18.63,14.28,,10709.846407300312,3849812.0727601973
7,"(4713275.71134015, 2252410.4420975056)",07,Robledo,8.91,9.66,8.93,10.77,12.61,12.32,19.38,13.79,10.27,,23265.233431348748,9462007.704047674
8,"(4718584.283001129, 2249006.5964515195)",08,Villa Hermosa,9.32,12.18,9.57,12.28,12.16,14.65,21.37,17.73,12.81,,16392.858844819497,5716967.861815598
9,"(4717615.2868070705, 2247244.7482453715)",09,Buenos Aires,7.09,9.99,9.09,11.2,11.36,13.94,19.15,15.32,11.56,,18364.90299510415,6052668.286001971
10,"(4715944.532195215, 2249048.1243153503)",10,La Candelaria,8.55,6.04,11.2,9.08,9.83,13.61,19.04,14.67,9.16,,13632.701394923215,7360811.029417884
11,"(4713343.505881916, 2249368.142262306)",11,Laureles Estadio,6.66,7.5,7.16,6.08,8.17,7.14,11.42,10.26,6.45,,16365.175496146,7402669.301326557
12,"(4711800.387879477, 2249823.2178688487)",12,La América,7.03,6.2,8.56,10.94,10.0,8.74,15.15,11.47,5.84,,15425.495027124889,3973306.9584038733
13,"(4710446.833375132, 2250061.46529047)",13,San Javier,9.66,10.25,11.12,9.89,12.05,13.51,18.04,16.75,11.42,,26384.22054676626,4849278.874958561
14,"(4716105.141389329, 2243895.5048197634)",14,El Poblado,3.98,3.72,5.11,2.3,4.55,4.74,9.11,5.83,5.04,,19965.687059117798,14414322.82772217
15,"(4713893.91312301, 2245262.804141909)",15,Guayabal,8.02,7.62,7.28,7.11,8.42,11.28,15.59,14.56,7.5,,13279.243204644288,7288420.726785111
16,"(4712464.646424875, 2246614.0744316597)",16,Belén,9.54,7.78,8.0,7.73,11.34,9.55,15.24,14.38,7.72,,25695.016634207837,8856232.001394011
17,"(4702567.6733262185, 2257955.7318096347)",50,San Sebastián de Palmitas,,,,,,,12.99,10.5,8.22,,38399.21195236707,57799202.50778169
18,"(4708034.050193128, 2253812.2220230075)",60,San Cristóbal,,,,,,,16.59,14.93,12.79,,51162.61742571545,54112792.242404774
19,"(4708517.330020405, 2246822.6598185324)",70,Altavista,,,,,,,24.2,12.93,8.91,,35012.58288575261,28725783.28352506
20,"(4704270.352085299, 2245613.063627898)",80,San Antonio de Prado,,,,,,,17.34,13.08,12.46,,40472.28393637327,60567771.68704203
21,"(4721626.544324636, 2247611.5894908938)",90,Santa Elena,,,,,,,17.06,11.62,8.55,,66527.05396435653,74114152.89082207
