Names,Website,Description,Phone Number,Address,Average Rating,Store Shopping,In Store Pickup,Delivery,Type,Opens At,Reviews,Category
Parques del Río,,"Footpath  cycling route along a manicured riverside corridor of trees, flowers  public artworks.   Dogs allowed",+57 44444141,"Auto. S, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,community_centers
Parque de los Pies Descalzos,facebook.com,"Park featuring a sand area, fountains  a green space with a garden, plus a hands-on science museum.   Dogs allowed",+57 43808080,"Cra. 58 #42-125, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",4.5,No,No,No,Park,,No reviews available,community_centers
Parque de los Deseos,grupo-epm.com,Children play in this large open plaza featuring food vendors  a big screen for evening movies.   Dogs allowed,,"Cl. 71, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia, Colombia",4.5,No,No,No,City park,,No reviews available,community_centers
Lleras Park,comunasdemedellin.com,"Energetic area with a variety of restaurants serving regional cuisine, plus bars  other nightlife.   Dogs allowed",,"Cl 10 #25-18, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.4,No,No,No,Park,,No reviews available,community_centers
Parque de El Poblado,medellin.gov.co,"Green square  central meeting spot with food vendors, artisan craft stalls  surrounding nightlife.   Dogs allowed",,"El Poblado, Medellín, El Poblado, Medellin, Antioquia, Colombia",4.4,No,No,No,Park,,No reviews available,community_centers
Parque Berrío,medellin.gov.co,"Busy, historic city square with many trees, benches, vendors  a notable statue.   Dogs allowed",,"C. 50, La Candelaria, Medellín, La Candelaria, Medellin, Antioquia, Colombia",4.1,No,No,No,City park,,No reviews available,community_centers
Parque Arví,parquearvi.org,"Ecotourism park featuring walking  hiking trails, a food market, a gondola  adventure sports.   Dogs allowed",+57 604 4442979,"Via a Piedras Blancas, Medellín, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,community_centers
Parque Natural Cerro El Volador,parquenaturalcerroelvolador.blogspot.com.co,"This sizable urban park features a grassy hillside for recreation, relaxing  city views.   Dogs allowed",+57 42602416,"Medellín, Robledo, Medellin, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,community_centers
Parques del Río,,"Footpath  cycling route along a manicured riverside corridor of trees, flowers  public artworks.   Dogs allowed",+57 44444141,"Auto. S, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,community_centers
Ciudad del Río Lineal Park,,"Popular urban green space for picnics, recreation  relaxation, along with festivals  other events.   Dogs allowed",,"Cra 43G #2420, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.6,No,No,No,Park,Open 24 hours,No reviews available,community_centers
Lleras Park,comunasdemedellin.com,"Energetic area with a variety of restaurants serving regional cuisine, plus bars  other nightlife.   Dogs allowed",,"Cl 10 #25-18, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.4,No,No,No,Park,,No reviews available,community_centers
Parque de El Poblado,medellin.gov.co,"Green square  central meeting spot with food vendors, artisan craft stalls  surrounding nightlife.   Dogs allowed",,"El Poblado, Medellín, El Poblado, Medellin, Antioquia, Colombia",4.4,No,No,No,Park,,No reviews available,community_centers
Parque de los Pies Descalzos,facebook.com,"Park featuring a sand area, fountains  a green space with a garden, plus a hands-on science museum.   Dogs allowed",+57 43808080,"Cra. 58 #42-125, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",4.5,No,No,No,Park,,No reviews available,community_centers
Parque Norte,parquenorte.gov.co,"Family-friendly theme park with a roller coaster  other rides, plus a playground, lake  eateries.",+57 604 3401210,"Cra. 53 #76-115, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia, Colombia",4.5,No,No,No,Fairground,,No reviews available,community_centers
Parque de los Deseos,grupo-epm.com,Children play in this large open plaza featuring food vendors  a big screen for evening movies.   Dogs allowed,,"Cl. 71, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia, Colombia",4.5,No,No,No,City park,,No reviews available,community_centers
Parque de Boston,,Busy park with popular street food carts  a statue of the 19th-century general José María Córdova.   Dogs allowed,+57 320 2531575,"Cra. 38 #54 - 97, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",4.3,No,No,No,Park,,No reviews available,community_centers
Parque Natural Cerro El Volador,parquenaturalcerroelvolador.blogspot.com.co,"This sizable urban park features a grassy hillside for recreation, relaxing  city views.   Dogs allowed",+57 42602416,"Medellín, Robledo, Medellin, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,community_centers
Parque de la Conservación,parquedelaconservacion.com,"Classic zoo showcasing mammals, birds  reptiles in their habitats, plus concessions.",+57 300 4137847,"Cra. 52 #20-63, Guayabal, Medellín, Guayabal, Medellín, Antioquia, Colombia",4.5,No,No,No,Zoo,Open ⋅ Closes 5 PM,No reviews available,community_centers
Suramericana Park,gruposura.com,Dogs allowed,,"Cl. 49 #63-21, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.5,No,No,No,Nature preserve,,No reviews available,community_centers
Parque Arví,parquearvi.org,"Ecotourism park featuring walking  hiking trails, a food market, a gondola  adventure sports.   Dogs allowed",+57 604 4442979,"Via a Piedras Blancas, Medellín, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,community_centers
El Moral Nature preserve,,Dogs allowed,,"San Cristóbal, Medellin, Antioquia, Colombia",4.9,No,No,No,Nature preserve,,No reviews available,community_centers
Reserva natural San Rafael. Centro de conexión con la naturaleza.,facebook.com,Dogs allowed,+57 301 2497006,"Via Vereda El Llano #298, Medellín, Antioquia, Colombia",4.6,No,No,No,Nature preserve,,No reviews available,community_centers
Natural Park,,,,"Cra. 37, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.3,No,No,No,Park,,No reviews available,community_centers
Piedras Blancas Ecological Park,comfenalcoantioquia.com,"Tranquil park with forested trails, picnic areas, a reservoir with boat rentals  an insect museum.   Dogs allowed",+57 44601100,"Kilómetro 14 antigua vía Piedras Blancas, Guarne, Santa Elena, Antioquia, Colombia",4.7,No,No,No,National park,,No reviews available,community_centers
Parque Natural Cerro El Volador,parquenaturalcerroelvolador.blogspot.com.co,"This sizable urban park features a grassy hillside for recreation, relaxing  city views.   Dogs allowed",+57 42602416,"Medellín, Robledo, Medellin, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,community_centers
Natural Park,,,,"Cra. 37, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.3,No,No,No,Park,,No reviews available,community_centers
Parque Arví,parquearvi.org,"Ecotourism park featuring walking  hiking trails, a food market, a gondola  adventure sports.   Dogs allowed",+57 604 4442979,"Via a Piedras Blancas, Medellín, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,community_centers
Parque de El Poblado,medellin.gov.co,"Green square  central meeting spot with food vendors, artisan craft stalls  surrounding nightlife.   Dogs allowed",,"El Poblado, Medellín, El Poblado, Medellin, Antioquia, Colombia",4.4,No,No,No,Park,,No reviews available,community_centers
Parque de la Conservación,parquedelaconservacion.com,"Classic zoo showcasing mammals, birds  reptiles in their habitats, plus concessions.",+57 300 4137847,"Cra. 52 #20-63, Guayabal, Medellín, Guayabal, Medellín, Antioquia, Colombia",4.5,No,No,No,Zoo,Open ⋅ Closes 5 PM,No reviews available,community_centers
Parque de los Pies Descalzos,facebook.com,"Park featuring a sand area, fountains  a green space with a garden, plus a hands-on science museum.   Dogs allowed",+57 43808080,"Cra. 58 #42-125, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",4.5,No,No,No,Park,,No reviews available,community_centers
Presidenta Park,,"Public park with walking trails  wooden bridges, plus farmers markets  childrens play areas.   Dogs allowed",,"Cra. 39, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.6,No,No,No,Park,,No reviews available,community_centers
Lago Los Patos Ecological Park,,Dogs allowed,,"Medellín, Villa Hermosa, Medellin, Antioquia, Colombia",4.2,No,No,No,Park,,No reviews available,community_centers
Coffee Shop Pergamino Cafe,pergamino.co,Dine-in   Takeout   No-contact delivery,+57 318 8211303,"Cra. 37 #8A-37, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.7,No,No,No,Coffee shop,,No reviews available,community_centers
Café Noir Bar & Lounge,cafenoircolombia.com,Dine-in   Takeout   Delivery,+57 322 6508588,"Cl. 8 #37a41, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.8,No,No,Yes,Cafe,Open ⋅ Closes 11 PM,No reviews available,community_centers
Naturalia Café,qrco.de,"Laid-back hub with a garden terrace offering pizzas, sandwiches  pastries, plus live music nights.   Dine-in   Takeout   No-contact delivery",+57 301 6252244,"Cq. 3 #70-39, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.6,No,No,No,Restaurant,,No reviews available,community_centers
"Rituales café | Tienda de café especial, café en Medellín, ""Somos el café del barrio La Sierra"", café y brunch",ritualescafe.co,Dine-in   Takeout   Delivery,+57 304 1143372,"Cq. 74A #39b-22, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.7,No,No,Yes,Coffee shop,Open ⋅ Closes 8 PM,No reviews available,community_centers
Cafe Fundación.,facebook.com,Dine-in   Takeout,+57 305 3140682,"Tv. 41 #72-24, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.9,No,No,No,Cafe,,No reviews available,community_centers
Hija Mía Coffee MANILA,hijamiacoffee.com,Dine-in   Takeout   No-contact delivery,+57 43663788,"Cl 11A #43b -9, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.7,No,No,No,Coffee shop,,No reviews available,community_centers
"PERGAMINO Café Calle 10B, Medellín",pergamino.co,Dine-in   Takeout   Delivery,+57 318 8211303,"Cl. 10b #36-38, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.8,No,No,Yes,Coffee store,,No reviews available,community_centers
Naturalia Café,qrco.de,"Laid-back hub with a garden terrace offering pizzas, sandwiches  pastries, plus live music nights.   Dine-in   Takeout   No-contact delivery",+57 301 6252244,"Cq. 3 #70-39, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.6,No,No,No,Restaurant,,No reviews available,community_centers
AMA - Vegan Restaurant,ola.click,Dine-in   Takeout,+57 304 2622923,"Cl. 12 #43b - 31, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.7,No,No,No,Vegan restaurant,,No reviews available,community_centers
INA Restaura,,Dine-in   Takeout   No-contact delivery,+57 310 5981589,"Cq. 4 # 71-92, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.6,No,No,No,Health food restaurant,,No reviews available,community_centers
"Rituales café | Tienda de café especial, café en Medellín, ""Somos el café del barrio La Sierra"", café y brunch",ritualescafe.co,Dine-in   Takeout   Delivery,+57 304 1143372,"Cq. 74A #39b-22, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.7,No,No,Yes,Coffee shop,Open ⋅ Closes 8 PM,No reviews available,community_centers
Selva Café & Arte,instagram.com,Dine-in   Takeout,,"Cl. 47 #70-22, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.7,No,No,No,Art cafe,,No reviews available,community_centers
