Names,Website,Description,Phone Number,Address,Average Rating,Store Shopping,In Store Pickup,Delivery,Type,Opens At,Reviews,Category
Parques del Río,,"Footpath  cycling route along a manicured riverside corridor of trees, flowers  public artworks.   Dogs allowed",+57 44444141,"Auto. S, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,health_food_stores
Parque de los Pies Descalzos,facebook.com,"Park featuring a sand area, fountains  a green space with a garden, plus a hands-on science museum.   Dogs allowed",+57 43808080,"Cra. 58 #42-125, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia",4.5,No,No,No,Park,,No reviews available,health_food_stores
Parque de los Deseos,grupo-epm.com,Children play in this large open plaza featuring food vendors  a big screen for evening movies.   Dogs allowed,,"Cl. 71, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia, Colombia",4.5,No,No,No,City park,,No reviews available,health_food_stores
Lleras Park,comunasdemedellin.com,"Energetic area with a variety of restaurants serving regional cuisine, plus bars  other nightlife.   Dogs allowed",,"Cl 10 #25-18, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.4,No,No,No,Park,,No reviews available,health_food_stores
Parque de El Poblado,medellin.gov.co,"Green square  central meeting spot with food vendors, artisan craft stalls  surrounding nightlife.   Dogs allowed",,"El Poblado, Medellín, El Poblado, Medellin, Antioquia, Colombia",4.4,No,No,No,Park,,No reviews available,health_food_stores
Parque Berrío,medellin.gov.co,"Busy, historic city square with many trees, benches, vendors  a notable statue.   Dogs allowed",,"C. 50, La Candelaria, Medellín, La Candelaria, Medellin, Antioquia, Colombia",4.1,No,No,No,City park,,No reviews available,health_food_stores
Parque Arví,parquearvi.org,"Ecotourism park featuring walking  hiking trails, a food market, a gondola  adventure sports.   Dogs allowed",+57 604 4442979,"Via a Piedras Blancas, Medellín, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,health_food_stores
Parque Natural Cerro El Volador,parquenaturalcerroelvolador.blogspot.com.co,"This sizable urban park features a grassy hillside for recreation, relaxing  city views.   Dogs allowed",+57 42602416,"Medellín, Robledo, Medellin, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,health_food_stores
Parques del Río,,"Footpath  cycling route along a manicured riverside corridor of trees, flowers  public artworks.   Dogs allowed",+57 44444141,"Auto. S, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",4.7,No,No,No,Park,,No reviews available,health_food_stores
Ciudad del Río Lineal Park,,"Popular urban green space for picnics, recreation  relaxation, along with festivals  other events.   Dogs allowed",,"Cra 43G #2420, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",4.6,No,No,No,Park,Open 24 hours,No reviews available,health_food_stores
